GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024-05-20 12:13:37.000999+00:00,G16,21908401.247177362,8769082.089393983,-12887721.385779323,24796502.7581429,33.92499923706055
2024-05-20 12:13:37.000999+00:00,G10,17408420.028933264,10902297.981836502,17224454.91525819,20567753.61436441,31.150999069213867
2024-05-20 12:13:37.000999+00:00,G01,-13012681.191523135,8628575.12606689,20999054.950103603,25298311.580338866,31.50200080871582
2024-05-20 12:13:37.000999+00:00,G21,26697298.7790872,-2290.0238348827697,2082623.3809921716,22708008.63124602,33.875
2024-05-20 12:13:37.000999+00:00,G32,16336125.662334543,-16496619.649370119,12340144.57811969,24674425.665924728,33.99399948120117
2024-05-20 12:13:37.000999+00:00,G23,4783944.0748588815,14402710.846311403,21840177.401400026,21605811.312788766,33.61899948120117
2024-05-20 12:13:37.000999+00:00,G26,15739208.254586836,21340840.341071494,-2629249.7066967473,22473597.164186202,34.03300094604492
2024-05-20 12:13:38.000999+00:00,G16,21906839.29799819,8769316.027662287,-12890259.508060437,24796185.577088997,34.65299987792969
2024-05-20 12:13:38.000999+00:00,G10,17406295.341633238,10902470.9730024,17226486.270510115,20566865.627451893,33.56700134277344
2024-05-20 12:13:38.000999+00:00,G01,-13014483.63550885,8626442.264052698,20998838.956341486,25297989.603235766,32.99599838256836
2024-05-20 12:13:38.000999+00:00,G21,26697586.71261116,-2034.3798331047874,2079487.9746061596,22707520.870121576,34.994998931884766
2024-05-20 12:13:38.000999+00:00,G32,-3193094.5038909866,23111824.566694118,12515701.965758214,23276106.5479036,37.387001037597656
2024-05-20 12:13:38.000999+00:00,G23,16335796.168004148,-16495089.61576967,12342817.7245155,24673064.303956334,35.24800109863281
2024-05-20 12:13:38.000999+00:00,G26,4781190.931190989,14402900.978022873,21840636.30211793,21605297.773159757,34.23899841308594
2024-05-20 12:13:38.000999+00:00,G15,15739178.532110741,21341283.004433215,-2626108.671115777,22472136.57237261,34.94200134277344
2024-05-20 12:13:39.000999+00:00,G16,21905277.050235,8769550.060563503,-12892797.36597254,24795868.697051346,32.90700149536133
2024-05-20 12:13:39.000999+00:00,G10,17404170.412071656,10902644.106442813,17228517.269192312,20565989.33218526,34.5880012512207
2024-05-20 12:13:39.000999+00:00,G01,-13016286.170308119,8624309.518918766,20998622.49545085,25297666.129776496,32.104000091552734
2024-05-20 12:13:39.000999+00:00,G21,26697874.271150906,-1778.7777657022234,2076352.5250095106,22707029.81526853,34.09299850463867
2024-05-20 12:13:39.000999+00:00,G32,-3194054.744149725,23113111.959726203,12513057.8882585,23275561.22256664,37.92599868774414
2024-05-20 12:13:39.000999+00:00,G23,16335466.625458203,-16493559.26005788,12345490.600219943,24671698.151903167,35.45899963378906
2024-05-20 12:13:39.000999+00:00,G26,4778437.739390538,14403091.282729266,21841094.740063395,21604783.02946572,34.220001220703125
2024-05-20 12:13:39.000999+00:00,G15,15739148.626266196,21341725.336000025,-2622967.580189843,22470675.38725162,33.472999572753906
2024-05-20 12:13:40.000999+00:00,G16,21903714.503930993,8769784.188137412,-12895334.959456638,24795553.012353618,33.334999084472656
2024-05-20 12:13:40.000999+00:00,G10,13888901.571552604,-6738102.136272237,21523936.168023698,22691561.293930244,35.79600143432617
2024-05-20 12:13:40.000999+00:00,G01,17402045.240225326,10902817.382196538,17230547.91133571,20565113.935604844,34.79899978637695
2024-05-20 12:13:40.000999+00:00,G21,-13018088.795870468,8622176.890719097,20998405.567438003,25297341.75763101,35.44300079345703
2024-05-20 12:13:40.000999+00:00,G32,26698161.454692822,-1523.2175870679785,2073217.032330204,22706541.45647413,38.03200149536133
2024-05-20 12:13:40.000999+00:00,G23,-3195014.7450608173,23114399.119302392,12510413.541967932,23275015.59621342,35.68299865722656
2024-05-20 12:13:40.000999+00:00,G26,16335137.034759097,-16492028.582285885,12348163.2051265,24670332.894173663,34.70800018310547
2024-05-20 12:13:40.000999+00:00,G15,4775684.499562212,14403281.76043157,21841552.715219934,21604270.99055543,33.56700134277344
2024-05-20 12:13:40.000999+00:00,G16,23839504.484184425,5485168.798194908,-10936472.10193337,24484723.72661299,30.69700050354004
2024-05-20 12:13:40.000999+00:00,G10,15739118.53700652,21342167.335789982,-2619826.434007152,22469215.694124244,34.08300018310547
2024-05-20 12:13:41.000999+00:00,G16,21902151.659112275,8770018.410426293,-12897872.28848154,24795236.13231597,34.141998291015625
2024-05-20 12:13:41.000999+00:00,G10,13890433.25154088,-6735806.612758027,21523709.588192746,22690072.233586065,35.755001068115234
2024-05-20 12:13:41.000999+00:00,G01,17399919.826136936,10902990.800297014,17232578.19690829,20564237.94135447,34.00400161743164
2024-05-20 12:13:41.000999+00:00,G21,-13019891.512152582,8620044.379499203,20998188.172308393,25297015.884766802,35.43399810791016
2024-05-20 12:13:41.000999+00:00,G32,26698448.26323736,-1267.6992390244268,2070081.4965426289,22706047.09916738,35.49300003051758
2024-05-20 12:13:41.000999+00:00,G23,-3195974.5066532046,23115686.045380533,12507768.926913923,23274466.375115346,36.31900024414063
2024-05-20 12:13:41.000999+00:00,G26,16334807.395959703,-16490497.582460571,12350835.53920599,24668965.54241803,33.8650016784668
2024-05-20 12:13:41.000999+00:00,G15,4772931.211711252,14403472.41113765,21842010.227587603,21603754.750505224,35.30799865722656
2024-05-20 12:13:41.000999+00:00,G16,23838185.776180655,5485609.446868656,-10939125.755413076,24484342.389663152,33.525001525878906
2024-05-20 12:13:41.000999+00:00,G10,18507757.893369116,5702121.57198747,18071903.87971416,20554270.820256524,34.60699844360352
2024-05-20 12:13:41.000999+00:00,G01,15739088.26428455,21342609.0038278,-2616685.232609068,22467755.106673207,32.05400085449219
2024-05-20 12:13:42.000999+00:00,G16,21900588.515826814,8770252.727469068,-12900409.352980634,24794919.84994828,35.60900115966797
2024-05-20 12:13:42.000999+00:00,G10,13891965.042232726,-6733511.204095881,21523482.546704873,22688594.860525224,38.31900024414063
2024-05-20 12:13:42.000999+00:00,G01,17397794.169855475,10903164.360777183,17234608.12587198,20563360.74740162,36.09700012207031
2024-05-20 12:13:42.000999+00:00,G21,26698734.696776398,-1012.2226711236872,2066945.9177152873,22705547.048727095,35.505001068115234
2024-05-20 12:13:42.000999+00:00,G32,-3196934.0289357724,23116972.737891473,12505124.043179406,23273916.556347314,37.48699951171875
2024-05-20 12:13:42.000999+00:00,G23,16334477.709116455,-16488966.260605583,12353507.60239998,24667596.38892741,36.667999267578125
2024-05-20 12:13:42.000999+00:00,G26,4770177.875925813,14403663.234849585,21842467.27715269,21603236.412066337,37.32699966430664
2024-05-20 12:13:42.000999+00:00,G15,23836866.76556904,5486050.203326407,-10941779.181740675,24484014.41111661,33.54800033569336
2024-05-20 12:13:42.000999+00:00,G16,18508891.152864225,5704171.151085442,18070166.33633837,20553165.784706917,38.33100128173828
2024-05-20 12:13:43.000999+00:00,G16,21899025.074085042,8770487.139310386,-12902946.15294816,24794598.76877071,32.96200180053711
2024-05-20 12:13:43.000999+00:00,G10,13893496.943670576,-6731215.910215637,21523255.043554544,22687112.99403331,38.27099990844727
2024-05-20 12:13:43.000999+00:00,G01,17395668.2713875,10903338.063673392,17236637.69822924,20562475.757564,36.220001220703125
2024-05-20 12:13:43.000999+00:00,G21,26699020.755299788,-756.7878345972858,2063810.2959385163,22705043.700195655,35.45899963378906
2024-05-20 12:13:43.000999+00:00,G32,-3197893.311941428,23118259.19679823,12502478.890781134,23273361.63775315,35.827999114990234
2024-05-20 12:13:43.000999+00:00,G23,16334147.974283211,-16487434.616732387,12356179.394671323,24666223.339675687,34.689998626708984
2024-05-20 12:13:43.000999+00:00,G26,4767424.492277298,14403854.231570655,21842923.863904256,21602716.271892462,34.152000427246094
2024-05-20 12:13:43.000999+00:00,G15,23835547.451731406,5486491.067824224,-10944432.382177118,24483591.10639311,33.54199981689453
2024-05-20 12:13:43.000999+00:00,G16,18510024.412932582,5706220.473200978,18068428.40514639,20552018.7770211,36.42499923706055
2024-05-20 12:13:44.000999+00:00,G16,21897461.334081963,8770721.645967163,-12905482.688079022,24794302.872619897,32.88399887084961
2024-05-20 12:13:44.000999+00:00,G10,13895028.95583104,-6728920.731145734,21523027.07874594,22685623.331656624,38.15900039672852
2024-05-20 12:13:44.000999+00:00,G01,17393542.130782016,10903511.909018574,17238666.91394196,20561582.374171644,35.69900131225586
2024-05-20 12:13:44.000999+00:00,G21,26699306.438800547,-501.39467804529704,2060674.6312682598,22704536.154886845,33.61899948120117
2024-05-20 12:13:44.000999+00:00,G32,-3198852.3555447683,23119545.421851605,12499833.470172472,23272846.59290652,35.066001892089844
2024-05-20 12:13:44.000999+00:00,G23,16333818.191510476,-16485902.650837092,12358850.916009637,24664841.294836715,34.680999755859375
2024-05-20 12:13:44.000999+00:00,G26,23834227.83521689,5486932.040228021,-10947085.355635388,24483189.082210142,36.8129997253418
2024-05-20 12:13:44.000999+00:00,G15,18511157.67338904,5708269.538063787,18066690.08637912,20550864.57548301,33.237998962402344
